Type of wine,Name,Winery,Country,Region,Rating,NumberOfRatings,Year,Price,Rating Price Ratio,Rating category
Red,Pomerol 2011,Château La Providence,France,Pomerol,4.2,100,2011,95.0,0.04421052631578948,Low
Red,Lirac 2017,Château Mont-Redon,France,Lirac,4.3,100,2017,15.5,0.27741935483870966,Low
Red,Erta e China Rosso di Toscana 2015,Renzo Masi,Italy,Toscana,3.9,100,2015,7.45,0.5234899328859061,Medium
Red,Bardolino 2019,Cavalchina,Italy,Bardolino,3.5,100,2019,8.72,0.4013761467889908,Medium
Red,Ried Scheibner Pinot Noir 2016,Markowitsch,Austria,Carnuntum,3.9,100,2016,29.15,0.13379073756432247,Low
Red,Gigondas (Nobles Terrasses) 2017,Vieux Clocher,France,Gigondas,3.7,100,2017,19.9,0.18592964824120606,Low
Red,Marion's Vineyard Pinot Noir 2016,Schubert,New Zealand,Wairarapa,4.0,100,2016,43.87,0.09117848187827673,Low
Red,Red Blend 2014,Viña La Causa,Chile,Itata Valley,3.9,100,2014,17.52,0.2226027397260274,Low
Red,Chianti 2015,Castello Montaùto,Italy,Chianti,3.6,100,2015,10.75,0.33488372093023255,Medium
Red,Tradition 2014,Domaine des Aires Hautes,France,Minervois,3.5,100,2014,6.9,0.5072463768115941,Medium
Red,Chianti Riserva 2013,Poggiotondo,Italy,Chianti,3.9,100,2013,20.95,0.18615751789976134,Low
Red,Descendant 2016,Torbreck,Australia,Barossa,4.3,100,2016,140.64,0.030574516496018205,Low
Red,Les Obriers de la Peira Terrasses du Larzac 2017,La Pèira en Damaisèla,France,Terrasses du Larzac,4.1,100,2017,14.52,0.2823691460055096,Low
Red,Zenas Primitivo 2018,La Bollina,Italy,Puglia,3.6,100,2018,9.26,0.38876889848812096,Medium
Red,Cuvée Confidence Côtes du Rhône Rouge 2017,Domaine Fond Croze,France,Côtes-du-Rhône,3.7,100,2017,8.49,0.43580683156654887,Medium
Red,Shiraz 2018,Barramundi,Australia,South Eastern Australia,3.2,100,2018,6.5,0.49230769230769234,Medium
Red,Proprietor's Blend 2016,Ernie Els,South Africa,Stellenbosch,4.2,100,2016,29.09,0.14437951185974562,Low
Red,La Bienquerida 2016,Losada,Spain,Bierzo,4.3,100,2016,41.58,0.10341510341510342,Low
Red,Cabernet Sauvignon 2015,Hacienda,United States,California,3.8,100,2015,7.95,0.47798742138364775,Medium
Red,Fulgeo Negroamaro Salento 2016,San Donaci,Italy,Salento,4.0,100,2016,12.9,0.31007751937984496,Medium
Red,Contraste Tinto 2015,Conceito,Portugal,Douro,3.4,100,2015,9.9,0.3434343434343434,Medium
Red,Steiner 2013,Weninger,Hungary,Sopron,3.7,100,2013,24.5,0.1510204081632653,Low
Red,Old Vines Primitivo 2015,Azienda Agricola Morella,Italy,Puglia,4.2,100,2015,38.7,0.10852713178294573,Low
Red,Virtus Tannat 2013,Monte Paschoal,Brazil,Serra Gaúcha,2.9,100,2013,6.77,0.4283604135893649,Medium
Red,Kallista 2015,Vriesenhof,South Africa,Stellenbosch,4.3,100,2015,26.25,0.1638095238095238,Low
Red,Badia a Passignano Gran Selezione Chianti Classico 2016,Antinori,Italy,Chianti Classico,4.2,1000,2016,39.9,0.10526315789473685,Low
Red,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2012,Château Figeac,France,Saint-Émilion Grand Cru,4.4,1000,2012,174.49,0.025216344776204942,Low
Red,Carlo V Il Rosso dell'Imperatore 2013,Colli Vicentini,Italy,Veneto,3.7,1000,2013,15.9,0.23270440251572327,Low
Red,Pinot Noir 2016,District 7,United States,Monterey,3.6,1001,2016,15.98,0.22528160200250313,Low
Red,Marquis de Calon Saint-Estèphe 2015,Château Calon-Ségur,France,Saint-Estèphe,3.9,1001,2015,43.28,0.09011090573012939,Low
Red,Hécula Monastrell 2017,Castaño,Spain,Yecla,3.3,1004,2017,8.83,0.37372593431483575,Medium
Red,Berola 2015,Borsao,Spain,Campo de Borja,3.9,1006,2015,14.52,0.26859504132231404,Low
Red,Saint-Julien (Grand Cru Classé) 2010,Château Léoville Poyferré,France,Saint-Julien,4.4,1008,2010,189.0,0.023280423280423283,Low
Red,Pinot Noir Bourgogne 2017,Faiveley,France,Bourgogne,3.7,1009,2017,15.9,0.23270440251572327,Low
Red,Vigna del Noce Barbera d'Asti 2007,Trinchero,Italy,Barbera d'Asti,4.1,101,2007,76.9,0.05331599479843952,Low
Red,I Tratturi Rosso 2017,San Marzano,Italy,Salento,3.8,101,2017,7.04,0.5397727272727273,Medium
Red,Château Pilet Bordeaux 2017,J.Queyrens & Fils,France,Bordeaux,3.6,101,2017,6.5,0.5538461538461539,Medium
Red,Sancerre Rouge 2015,Comte Lafond,France,Sancerre,4.2,101,2015,37.34,0.11247991430101767,Low
Red,Shiraz 2016,Food Truck,Australia,McLaren Vale,3.5,101,2016,8.67,0.40369088811995385,Medium
Red,Ro-Rée Saint-Joseph 2018,Louis Chèze,France,Saint-Joseph,4.2,101,2018,24.37,0.1723430447271235,Low
Red,Cabernet Sauvignon 2015,Big Flower,South Africa,Stellenbosch,4.0,101,2015,16.5,0.24242424242424243,Low
Red,Cuvée Alienor Fronsac 2015,Château Mayne-Vieil,France,Fronsac,3.7,101,2015,16.47,0.22465088038858533,Low
Red,Sabbie di Sopra al Bosco 2014,Nanni Copé,Italy,Terre del Volturno,3.8,101,2014,31.96,0.11889862327909886,Low
Red,Roma Rosso 2018,Poggio le Volpi,Italy,Lazio,4.0,101,2018,9.95,0.4020100502512563,Medium
